0.01 0.0854617 0.0228166 
0.02 0.338425 0.230342 
0.03 0.165079 0.127284 
0.04 0.040305 0.254149 
0.05 0.103757 0.101847 
0.06 0.0898716 0.0802312 
0.07 0.0301904 0.119303 
0.08 0.0273565 0.107409 
0.09 0.0195731 0.0647266 
0.1 0.032592 0.0340742 
0.11 0.00749002 0.0599349 
0.12 0.00391309 0.101438 
0.13 0.0131049 0.050663 
0.14 0.0184202 0.0132496 
0.15 0.0243322 0.0193658 
0.16 0.0235062 0.0325936 
0.17 0.0203924 0.0367503 
0.18 0.0212603 0.0503982 
0.19 0.0173868 0.0497874 
0.2 0.0157962 0.0545648 
0.21 0.0161985 0.0611659 
0.22 0.0142414 0.060776 
0.23 0.00857343 0.0436568 
0.24 0.00829795 0.0381336 
0.25 0.00832027 0.0278366 
0.26 0.00568772 0.0143247 
0.27 0.00388363 0.00593719 
0.28 0.00307303 0.00182483 
0.29 0.00296965 0.000563977 
0.3 0.00322452 0.00115916 
0.31 0.00268549 0.00361811 
0.32 0.00124168 0.00954482 
0.33 0.00226902 0.0158213 
0.34 0.00416195 0.0163244 
0.35 0.00276257 0.0233253 
0.36 0.00668012 0.0309951 
0.37 0.00631938 0.0289333 
0.38 0.00954064 0.0408088 
0.39 0.0106007 0.0354576 
0.4 0.0141496 0.047122 
0.41 0.0141365 0.0401016 
0.42 0.0205038 0.0505238 
0.43 0.0172995 0.0448341 
0.44 0.0257069 0.0482881 
0.45 0.024186 0.0518417 
0.46 0.0255044 0.0438821 
0.47 0.0334189 0.0517776 
0.48 0.0293999 0.0495401 
0.49 0.0316576 0.0428616 
0.5 0.0395628 0.0495657 
0.51 0.0363703 0.0488971 
0.52 0.0346157 0.0407777 
0.53 0.0423853 0.0431513 
0.54 0.0448811 0.0476723 
0.55 0.0395277 0.0421984 
0.56 0.039807 0.0365093 
0.57 0.0469269 0.0395402 
0.58 0.0492948 0.0431329 
0.59 0.0443804 0.0392566 
0.6 0.0415159 0.0331554 
0.61 0.0457782 0.0328089 
0.62 0.0512899 0.0367553 
0.63 0.0509905 0.0378667 
0.64 0.0459651 0.0337405 
0.65 0.0428191 0.0288022 
0.66 0.0451538 0.0278423 
0.67 0.0501204 0.0306179 
0.68 0.052432 0.0330387 
0.69 0.0499592 0.031968 
0.7 0.0451964 0.0280264 
0.71 0.0423042 0.0243475 
0.72 0.0433539 0.0234376 
0.73 0.0470274 0.0252477 
0.74 0.0501723 0.0276665 
0.75 0.0503685 0.0284406 
0.76 0.0474644 0.0267786 
0.77 0.0433078 0.0236231 
0.78 0.0402799 0.0207508 
0.79 0.0398074 0.0195509 
0.8 0.0417152 0.0202872 
0.81 0.0445779 0.0221419 
0.82 0.0466484 0.0238264 
0.83 0.0467626 0.0243076 
0.84 0.0447907 0.0232613 
0.85 0.0415339 0.0211059 
0.86 0.0382395 0.018698 
0.87 0.036024 0.0169022 
0.88 0.0354591 0.0162418 
0.89 0.0364419 0.01675 
0.9 0.0383341 0.0180343 
0.91 0.0402618 0.01948 
0.92 0.0414375 0.020493 
0.93 0.0413955 0.0206891 
0.94 0.0400848 0.0199827 
0.95 0.037824 0.0185675 
0.96 0.0351582 0.01682 
0.97 0.0326813 0.015168 
0.98 0.0308762 0.0139704 
0.99 0.0300116 0.0134343 
1 0.0301087 0.0135865 
1.01 0.0309709 0.0142922 
1.02 0.0322577 0.0153079 
1.03 0.0335768 0.0163499 
1.04 0.0345709 0.0171598 
1.05 0.0349836 0.0175527 
1.06 0.0346941 0.0174441 
1.07 0.0337209 0.0168522 
1.08 0.0322002 0.0158807 
1.09 0.0303469 0.0146893 
1.1 0.0284093 0.0134598 
1.11 0.0266251 0.012363 
1.12 0.0251867 0.0115332 
1.13 0.0242186 0.0110525 
1.14 0.0237683 0.0109454 
1.15 0.0238093 0.0111821 
1.16 0.0242544 0.0116898 
1.17 0.0249743 0.0123674 
1.18 0.025819 0.0131018 
1.19 0.0266384 0.0137839 
1.2 0.0273 0.0143208 
1.21 0.0277016 0.014645 
1.22 0.0277791 0.0147188 
1.23 0.0275083 0.0145349 
1.24 0.026903 0.0141137 
