7.25	19.2	1170	0	7.28	127	0
7.3	21.1	1090	0	8.48	109	0
7.35	17.5	1050	0	6.09	76.2	0
7.4	16	1070	0	5.78	105	0
7.45	18.2	1040	0	6.24	92.7	0
7.5	15.1	935	0	5.37	89.2	0
7.55	14.8	1010	0	6	95.5	0
7.6	14.8	981	0	4.11	95.3	0
7.65	12.5	865	0	4.55	69.8	0
7.7	13.8	889	0	4.06	64.9	0
7.75	13	829	0	3.53	60	0
7.8	13.5	863	0	5.68	58.1	0
7.85	11.4	831	0	3.54	64.8	0
7.9	10.5	771	0	4.06	55.6	0
7.95	13	747	0	4.35	55.5	0
8	10	774	0	2.57	56.7	0
8.05	11.1	693	0	4.06	56.4	0
8.1	10.4	704	0	2.42	52.6	0
8.15	9.16	665	0	2.91	46.6	0
8.2	9.76	675	0	3.77	73	0
8.25	9.34	650	0	3.53	43.3	0
8.3	9.05	612	0	2.32	44.4	0
8.35	7.95	614	0	4.31	43.4	0
8.4	8.05	573	0	3.05	48.3	0
8.45	7.28	578	0	1.87	65.4	0
8.5	9.7	543	0	4.21	41.1	0
8.55	6.61	511	0	1.42	42.2	0
8.6	6.25	503	0	2.21	38.4	0
8.65	5.9	542	0	1.7	48.8	0
8.7	7	480	0	2.49	38	0
8.75	24.4	480	0	3.43	36.9	0
8.8	6.41	462	0	2.37	57.6	0
8.85	6.57	437	0	2.29	41.6	0
8.9	6.64	440	0	1.88	27.7	0
8.95	4.78	408	0	1.56	40	0
9	7.02	392	0	2.38	33.1	0
9.05	5.55	406	0	2.51	39	0
9.1	3.22	385	0	1.16	31.8	0
9.15	3.78	372	0	0.465	34.5	0
9.2	21.1	361	0	0.941	44.6	0
9.25	4.5	358	0	1.94	28.4	0
9.3	3.85	323	0	1.21	25	0
9.35	3.38	305	0	1.14	36	0
9.4	3.75	334	0	1.27	33.5	0
9.45	4.44	309	0	1.32	27.5	0
9.5	3.69	281	0	0.818	33.3	0
9.55	2.88	315	0	1.15	24.9	0
9.6	2.33	280	0	0.944	27.3	0
9.65	2.46	261	0	1.01	24	0
9.7	2.52	291	0	1.07	17.7	0
9.75	3.5	255	0	1.47	21.6	0
9.8	3.69	216	0	2.08	22.6	0
9.85	2.38	235	0	0.653	19.7	0
9.9	2.41	246	0	0.63	19	0
9.95	3.36	231	0	1.1	23.8	0
10	1.7	174	0	0.497	13	0
10.05	1.7	174	0	0.497	13	0
10.1	1.7	174	0	0.497	13	0
10.15	1.7	174	0	0.497	13	0
10.2	1.7	174	0	0.497	13	0
10.25	1.7	174	0	0.497	13	0
10.3	1.7	174	0	0.497	13	0
10.35	1.7	174	0	0.497	13	0
10.4	1.7	174	0	0.497	13	0
10.45	1.7	174	0	0.497	13	0
10.5	1.7	174	0	0.497	13	0
10.55	1.7	174	0	0.497	13	0
10.6	1.7	174	0	0.497	13	0
10.65	1.7	174	0	0.497	13	0
10.7	1.7	174	0	0.497	13	0
10.75	1.7	174	0	0.497	13	0
10.8	1.7	174	0	0.497	13	0
10.85	1.7	174	0	0.497	13	0
10.9	1.7	174	0	0.497	13	0
10.95	1.7	174	0	0.497	13	0
11	0.834	100	0	0.26	7.2	0
11.05	0.834	100	0	0.26	7.2	0
11.1	0.834	100	0	0.26	7.2	0
11.15	0.834	100	0	0.26	7.2	0
11.2	0.834	100	0	0.26	7.2	0
11.25	0.834	100	0	0.26	7.2	0
11.3	0.834	100	0	0.26	7.2	0
11.35	0.834	100	0	0.26	7.2	0
11.4	0.834	100	0	0.26	7.2	0
11.45	0.834	100	0	0.26	7.2	0
11.5	0.834	100	0	0.26	7.2	0
11.55	0.834	100	0	0.26	7.2	0
11.6	0.834	100	0	0.26	7.2	0
11.65	0.834	100	0	0.26	7.2	0
11.7	0.834	100	0	0.26	7.2	0
11.75	0.834	100	0	0.26	7.2	0
11.8	0.834	100	0	0.26	7.2	0
11.85	0.834	100	0	0.26	7.2	0
11.9	0.834	100	0	0.26	7.2	0
11.95	0.834	100	0	0.26	7.2	0
12	0.425	56.4	0	0.191	4.66	0
12.05	0.425	56.4	0	0.191	4.66	0
12.1	0.425	56.4	0	0.191	4.66	0
12.15	0.425	56.4	0	0.191	4.66	0
12.2	0.425	56.4	0	0.191	4.66	0
12.25	0.425	56.4	0	0.191	4.66	0
12.3	0.425	56.4	0	0.191	4.66	0
12.35	0.425	56.4	0	0.191	4.66	0
